Date,Revenue,Orders,Expenses
2021-01-01,20795,290,5071
2021-01-02,5860,271,27970
2021-01-03,43158,263,17454
2021-01-04,49732,184,10840
2021-01-05,16284,435,32654
2021-01-06,11265,352,14849
2021-01-07,21850,336,23403
2021-01-08,42194,238,13431
2021-01-09,26962,346,25442
2021-01-10,49131,575,9630
2021-01-11,21023,438,16008
2021-01-12,46090,508,5859
2021-01-13,6685,310,5393
2021-01-14,5769,162,32144
2021-01-15,7433,85,17091
2021-01-16,10311,128,25455
2021-01-17,42819,324,37818
2021-01-18,44188,327,6121
2021-01-19,22568,361,12116
2021-01-20,24769,578,7971
2021-01-21,33693,253,32644
2021-01-22,11396,66,27079
2021-01-23,32480,525,31327
2021-01-24,46434,560,39122
2021-01-25,30658,259,6397
2021-01-26,23942,548,15412
2021-01-27,23431,451,8521
2021-01-28,7747,478,32151
2021-01-29,5189,127,6472
2021-01-30,24118,129,8481
2021-01-31,40773,355,22883
2021-02-01,6899,107,26379
2021-02-02,6267,579,27265
2021-02-03,36551,257,26656
2021-02-04,16394,560,12304
2021-02-05,8556,184,24080
2021-02-06,8890,571,15445
2021-02-07,46606,132,25857
2021-02-08,35740,93,31894
2021-02-09,19502,532,3544
2021-02-10,26777,542,19052
2021-02-11,15627,548,30734
2021-02-12,13792,67,38396
2021-02-13,48323,343,39219
2021-02-14,48021,197,4436
2021-02-15,13433,521,14007
2021-02-16,48001,221,31341
2021-02-17,16016,580,34014
2021-02-18,28897,169,38830
2021-02-19,7612,115,10551
2021-02-20,28483,190,16113
2021-02-21,22159,495,7841
2021-02-22,49974,555,20102
2021-02-23,45994,238,22111
2021-02-24,19541,207,14093
2021-02-25,40920,295,10546
2021-02-26,31531,82,34799
2021-02-27,6585,410,24584
2021-02-28,8943,379,22361
2021-03-01,28939,561,17484
2021-03-02,24457,120,17101
2021-03-03,6021,362,39248
2021-03-04,16653,128,16261
2021-03-05,48573,218,16209
2021-03-06,18417,229,31647
2021-03-07,45757,309,11221
2021-03-08,14692,535,22877
2021-03-09,11873,54,28557
2021-03-10,10675,346,35998
2021-03-11,5161,409,10526
2021-03-12,42065,166,4251
2021-03-13,31557,406,35588
2021-03-14,38763,488,9889
2021-03-15,37606,380,31766
2021-03-16,16534,574,32146
2021-03-17,34127,237,37546
2021-03-18,45397,330,11052
2021-03-19,30851,560,35548
2021-03-20,6016,515,4147
2021-03-21,29253,164,5847
2021-03-22,29276,285,23234
2021-03-23,28247,387,22454
2021-03-24,29300,571,36388
2021-03-25,13529,248,36731
2021-03-26,22262,99,29076
2021-03-27,14268,191,33752
2021-03-28,26271,577,19003
2021-03-29,17185,563,10418
2021-03-30,26243,79,20710
2021-03-31,44099,131,3121
2021-04-01,13571,80,30773
2021-04-02,44976,382,20566
2021-04-03,43044,226,36562
2021-04-04,45774,419,23655
2021-04-05,7568,596,11483
2021-04-06,7027,584,35688
2021-04-07,7695,155,28209
2021-04-08,10258,146,21556
2021-04-09,27002,279,30962
2021-04-10,44504,276,18638
2021-04-11,38159,420,39675
2021-04-12,18986,149,24083
2021-04-13,17666,494,10081
2021-04-14,43660,517,16353
2021-04-15,8561,104,22852
2021-04-16,31854,244,8760
2021-04-17,43952,569,16771
2021-04-18,27662,473,3490
2021-04-19,13392,364,7263
2021-04-20,35535,177,10769
2021-04-21,18067,81,28334
2021-04-22,28599,142,20581
2021-04-23,40222,568,35749
2021-04-24,16837,307,14635
2021-04-25,19039,269,4904
2021-04-26,35818,155,8269
2021-04-27,24115,597,33968
2021-04-28,15965,465,4650
2021-04-29,29538,358,15467
2021-04-30,47530,415,38959
2021-05-01,10056,570,35795
2021-05-02,37482,508,25644
2021-05-03,13110,419,38518
2021-05-04,18773,380,30280
2021-05-05,32266,60,5879
2021-05-06,22412,556,7357
2021-05-07,38270,468,31301
2021-05-08,11910,171,13865
2021-05-09,30446,284,5832
2021-05-10,5206,380,38877
2021-05-11,26518,592,31868
2021-05-12,27361,397,34403
2021-05-13,28419,461,8758
2021-05-14,46523,273,5921
2021-05-15,27403,202,37201
2021-05-16,23141,261,7428
2021-05-17,19820,141,11111
2021-05-18,45342,380,26247
2021-05-19,11374,516,33447
2021-05-20,6678,277,15366
2021-05-21,38827,243,33564
2021-05-22,21198,579,12975
2021-05-23,14914,292,5642
2021-05-24,32890,438,16849
2021-05-25,27299,325,39479
2021-05-26,48585,499,22344
2021-05-27,48689,527,24214
2021-05-28,47557,529,29155
2021-05-29,49020,337,25522
2021-05-30,7693,589,9680
2021-05-31,34467,379,15507
2021-06-01,34723,519,12419
2021-06-02,8627,583,25559
2021-06-03,30939,516,6160
2021-06-04,47941,469,10872
2021-06-05,26834,171,10839
2021-06-06,23047,357,18652
2021-06-07,31105,383,9859
2021-06-08,15230,469,36520
2021-06-09,20707,375,16304
2021-06-10,26976,299,6980
2021-06-11,49262,144,3425
2021-06-12,28776,345,11141
2021-06-13,35080,233,13057
2021-06-14,6306,309,34803
2021-06-15,11776,235,7106
2021-06-16,32251,458,23087
2021-06-17,14474,118,4408
2021-06-18,45294,57,22865
2021-06-19,26959,314,18843
2021-06-20,10530,533,31477
2021-06-21,34320,420,35457
2021-06-22,8748,132,30330
2021-06-23,36968,260,32211
2021-06-24,37562,362,35667
2021-06-25,18545,386,4758
2021-06-26,5663,539,32169
2021-06-27,39766,452,14260
2021-06-28,12994,240,35350
2021-06-29,33021,384,35678
2021-06-30,35303,571,20910
2021-07-01,8304,136,3840
2021-07-02,44353,111,20725
2021-07-03,22675,436,15299
2021-07-04,49417,195,32989
2021-07-05,28938,202,27505
2021-07-06,28664,398,8559
2021-07-07,6636,227,35597
2021-07-08,25080,536,11707
2021-07-09,32728,296,31019
2021-07-10,31736,303,25841
2021-07-11,33673,549,22640
2021-07-12,42505,590,38362
2021-07-13,5854,401,39424
2021-07-14,29548,561,35626
2021-07-15,43623,62,12740
2021-07-16,12392,200,6155
2021-07-17,26556,99,26572
2021-07-18,43559,264,3978
2021-07-19,31309,421,13497
2021-07-20,26919,162,22431
2021-07-21,9931,301,38357
2021-07-22,37970,390,26167
2021-07-23,49215,102,8942
2021-07-24,17688,179,21983
2021-07-25,30342,242,38276
2021-07-26,42157,106,20577
2021-07-27,7327,146,8915
2021-07-28,45772,247,29333
2021-07-29,45545,196,5045
2021-07-30,5197,344,27180
2021-07-31,28509,61,12564
2021-08-01,39698,382,14105
2021-08-02,49542,269,23056
2021-08-03,20087,447,35135
2021-08-04,27671,391,35812
2021-08-05,30184,561,7511
2021-08-06,32848,221,25772
2021-08-07,47107,517,18421
2021-08-08,25666,215,30116
2021-08-09,49357,219,10775
2021-08-10,20708,561,29946
2021-08-11,31370,238,13707
2021-08-12,7811,169,16372
2021-08-13,11546,154,32814
2021-08-14,39754,90,25607
2021-08-15,35206,370,30957
2021-08-16,46106,384,33278
2021-08-17,16411,209,11216
2021-08-18,7911,313,13006
2021-08-19,6734,579,36993
2021-08-20,23227,526,37016
2021-08-21,13680,401,28354
2021-08-22,24360,594,22226
2021-08-23,23343,259,20966
2021-08-24,10759,545,7848
2021-08-25,28078,431,14783
2021-08-26,40153,530,38906
2021-08-27,16111,54,13924
2021-08-28,42504,83,7642
2021-08-29,6802,194,8196
2021-08-30,13155,400,14155
2021-08-31,13120,514,15055
2021-09-01,44384,397,23152
2021-09-02,26918,174,11072
2021-09-03,25445,320,18965
2021-09-04,35306,406,34990
2021-09-05,21646,576,24942
2021-09-06,36065,547,29843
2021-09-07,30199,202,8490
2021-09-08,46976,102,24719
2021-09-09,21371,198,21894
2021-09-10,16835,552,33837
2021-09-11,7049,499,4746
2021-09-12,36616,268,28071
2021-09-13,43191,326,11170
2021-09-14,25932,501,36401
2021-09-15,34855,477,15889
2021-09-16,12158,132,22104
2021-09-17,48016,267,18140
2021-09-18,12400,576,30736
2021-09-19,47642,453,11152
2021-09-20,20151,339,22741
2021-09-21,6154,469,25354
2021-09-22,9499,388,11666
2021-09-23,11295,468,31403
2021-09-24,17183,256,37726
2021-09-25,34299,314,8884
2021-09-26,17874,85,15312
2021-09-27,37711,422,22998
2021-09-28,10539,537,6820
2021-09-29,47405,308,7322
2021-09-30,7557,580,27923
2021-10-01,43360,72,25942
2021-10-02,21482,153,36750
2021-10-03,7200,290,35333
2021-10-04,7961,302,25912
2021-10-05,26357,191,24983
2021-10-06,16969,500,25074
2021-10-07,7869,356,8905
2021-10-08,33643,549,28028
2021-10-09,29736,57,7073
2021-10-10,43467,118,5234
2021-10-11,28328,117,18273
2021-10-12,30876,457,10631
2021-10-13,26295,567,15061
2021-10-14,8987,168,26818
2021-10-15,27399,80,26704
2021-10-16,38986,567,32362
2021-10-17,25880,532,13850
2021-10-18,9735,256,33638
2021-10-19,49064,436,19919
2021-10-20,9555,461,26884
2021-10-21,46914,419,34480
2021-10-22,45818,402,33697
2021-10-23,24830,385,21084
2021-10-24,22429,338,33301
2021-10-25,11893,189,10114
2021-10-26,19373,349,33550
2021-10-27,8436,62,10469
2021-10-28,13754,477,9492
2021-10-29,15677,449,4971
2021-10-30,10895,158,12644
2021-10-31,24738,534,29169
2021-11-01,35746,405,20096
2021-11-02,37352,198,39423
2021-11-03,44790,356,15534
2021-11-04,46919,582,15768
2021-11-05,10600,109,25625
2021-11-06,34124,484,31660
2021-11-07,32643,70,27144
2021-11-08,45764,431,12640
2021-11-09,14007,294,23032
2021-11-10,42410,122,29589
2021-11-11,49080,498,11650
2021-11-12,45447,125,5843
2021-11-13,13208,439,27357
2021-11-14,23589,391,19976
2021-11-15,48484,339,3497
2021-11-16,22453,380,5134
2021-11-17,41212,308,21833
2021-11-18,48525,475,8412
2021-11-19,37635,55,35666
2021-11-20,38828,55,7292
2021-11-21,23711,240,30387
2021-11-22,8420,197,34826
2021-11-23,36216,454,3026
2021-11-24,5301,307,15108
2021-11-25,5699,528,17470
2021-11-26,5190,139,32785
2021-11-27,15492,59,5253
2021-11-28,40743,136,23026
2021-11-29,11102,200,32274
2021-11-30,24778,79,4086
2021-12-01,31641,177,27406
2021-12-02,39584,127,37783
2021-12-03,37745,470,24451
2021-12-04,28093,104,12907
2021-12-05,5569,529,10123
2021-12-06,43210,354,29302
2021-12-07,39663,595,10084
2021-12-08,41631,154,22847
2021-12-09,12455,221,25805
2021-12-10,9014,548,17248
2021-12-11,16093,71,7467
2021-12-12,23070,336,28384
2021-12-13,40777,440,5896
2021-12-14,21538,198,13362
2021-12-15,15729,321,22512
2021-12-16,39177,348,23639
2021-12-17,5784,221,20718
2021-12-18,32751,96,28093
2021-12-19,45864,256,26462
2021-12-20,45328,502,20672
2021-12-21,17533,444,11937
2021-12-22,45111,350,31543
2021-12-23,44974,225,25031
2021-12-24,10801,159,20081
2021-12-25,24190,251,14226
2021-12-26,43754,217,19858
2021-12-27,34592,135,33332
2021-12-28,15647,100,28113
2021-12-29,13716,161,25016
2021-12-30,28355,512,8384
2021-12-31,27009,491,20750
2022-01-01,29376,320,20445
2022-01-02,9780,393,31904
2022-01-03,7368,232,38075
2022-01-04,17039,552,19691
2022-01-05,11655,59,32074
2022-01-06,45941,543,12188
2022-01-07,9495,283,28860
2022-01-08,15893,347,33171
2022-01-09,30547,293,32421
2022-01-10,27386,558,34990
2022-01-11,18403,400,3303
2022-01-12,37097,316,9486
2022-01-13,18121,250,8566
2022-01-14,15966,288,24541
2022-01-15,38621,383,6891
2022-01-16,33312,464,12046
2022-01-17,27677,533,32741
2022-01-18,36289,486,8724
2022-01-19,36024,295,25664
2022-01-20,47675,57,8350
2022-01-21,9777,201,17025
2022-01-22,34749,441,31225
2022-01-23,20338,260,12164
2022-01-24,7491,416,39901
2022-01-25,32236,135,12370
2022-01-26,19599,104,35872
2022-01-27,24508,495,27830
2022-01-28,8051,353,26955
2022-01-29,26606,181,25985
